tahun,bulan,periode,nominal_transaksi,volume_transaksi
2021,12,2021-12-31,1689177452958.82,588862
2022,1,2022-01-31,30631907084617.53,9347342
2022,2,2022-02-28,42259411428926.49,12760555
2022,3,2022-03-31,65979675309960.805,18494758
2022,4,2022-04-30,100211029035856.22,24546398
2022,5,2022-05-31,93936488545342.02,23104250
2022,6,2022-06-30,149237630194810.2,41068530
2022,7,2022-07-31,176863694747223.3,51435915
2022,8,2022-08-31,208439439404100.16,61308304
2022,9,2022-09-30,246198954745895.7,79030220
2022,10,2022-10-31,279395173677756.22,93159267
2022,11,2022-11-30,302489381068184.25,105213352
2022,12,2022-12-31,360661475505460.56,126920203
2023,1,2023-01-31,337379903970978.44,121302109
2023,2,2023-02-28,343760780401623.7,126996538
2023,3,2023-03-31,426363354151421.6,151351344
2023,4,2023-04-30,390903116637759.7,144059119
2023,5,2023-05-31,462067572834479.56,161001939
2023,6,2023-06-30,457451357977335.56,162782873
2023,7,2023-07-31,516101183332173.0,182373305
2023,8,2023-08-31,538943664001866.25,196396288
2023,9,2023-09-30,514846613319537.4,194778234
2023,10,2023-10-31,574662888900195.8,219306231
2023,11,2023-11-30,524617149968028.3,200114982
2023,12,2023-12-31,621970277554967.0,187078453
2024,1,2024-01-31,628247962588789.4,238869160
2024,2,2024-02-29,478371569193909.44,187501361
2024,3,2024-03-31,653616183100761.1,251377133
2024,4,2024-04-30,622364319188959.6,237979166
2024,5,2024-05-31,707563671183169.8,270342298
2024,6,2024-06-30,730949579811511.2,280113436
